nohup: ignoring input
⚠️  无法导入cldm: No module named 'cldm'

🚀 任务: 移动物体
   筛选任务 'move_object': 2014/6000 个样本
✅ 加载数据集 (move_object): 2014 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 2014 个样本
   筛选任务 'move_object': 245/750 个样本
✅ 加载数据集 (move_object): 245 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 245 个样本
   筛选任务 'move_object': 241/750 个样本
✅ 加载数据集 (move_object): 241 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 241 个样本
✅ 创建任务 'move_object' 数据加载器完成
   训练集: 2014 个样本, 1007 个批次
   验证集: 245 个样本, 123 个批次
   测试集: 241 个样本, 121 个批次
   批次大小: 2
   分辨率: 512x512
   输入帧形状: (20, 3, 512, 512)
   目标帧形状: (3, 512, 512)
🚀 使用设备: cuda
🎯 任务: move_object
📉 学习率: 5e-06 (低LR模式)
📦 等效BatchSize: 32
📦 初始化模型...
🚀 开始极稳模式训练 (LR=5e-06)
Epoch 3 | Batch 510 | Loss: 0.0462
Epoch 3 | Batch 520 | Loss: 0.0127
Epoch 3 | Batch 530 | Loss: 0.0481
Epoch 3 | Batch 540 | Loss: 0.1336
Epoch 3 | Batch 550 | Loss: 0.0457
Epoch 3 | Batch 560 | Loss: 0.0160
Epoch 3 | Batch 570 | Loss: 0.2471
Epoch 3 | Batch 580 | Loss: 0.4606
Epoch 3 | Batch 590 | Loss: 0.0665
Epoch 3 | Batch 600 | Loss: 0.0704
Epoch 3 | Batch 610 | Loss: 0.1238
Epoch 3 | Batch 620 | Loss: 0.0321
Epoch 3 | Batch 630 | Loss: 0.0237
Epoch 3 | Batch 640 | Loss: 0.1516
Epoch 3 | Batch 650 | Loss: 0.0370
Epoch 3 | Batch 660 | Loss: 0.1606
Epoch 3 | Batch 670 | Loss: 0.1526
Epoch 3 | Batch 680 | Loss: 0.1150
Epoch 3 | Batch 690 | Loss: 0.0802
Epoch 3 | Batch 700 | Loss: 0.1708
Epoch 3 | Batch 710 | Loss: 0.3354
Epoch 3 | Batch 720 | Loss: 0.0273
Epoch 3 | Batch 730 | Loss: 0.0312
Epoch 3 | Batch 740 | Loss: 0.1125
Epoch 3 | Batch 750 | Loss: 0.1823
Epoch 3 | Batch 760 | Loss: 0.0182
Epoch 3 | Batch 770 | Loss: 0.0195
Epoch 3 | Batch 780 | Loss: 0.0349
Epoch 3 | Batch 790 | Loss: 0.3117
Epoch 3 | Batch 800 | Loss: 0.0200
Epoch 3 | Batch 810 | Loss: 0.1073
Epoch 3 | Batch 820 | Loss: 0.1555
Epoch 3 | Batch 830 | Loss: 0.2096
Epoch 3 | Batch 840 | Loss: 0.3684
Epoch 3 | Batch 850 | Loss: 0.0046
Epoch 3 | Batch 860 | Loss: 0.3448
Epoch 3 | Batch 870 | Loss: 0.0910
Epoch 3 | Batch 880 | Loss: 0.2105
